"","Your.University","Location","Condition.of.House","Quality.of.Furnishings","Quality.of.Appliances","Overall.House","lng","lat"
"1","University of Leicester",1,1,1,1,1,-1.12220513857863,52.6297994414819
"2","University of Leicester",3,2,1,3,2.25,-1.12861393266632,52.6113722537587
"3","University of Leicester",4,4,4,5,4.25,-1.1241409774251,52.6134968826593
"4","University of Leicester",4,5,5,5,4.75,-1.12637951980707,52.6153024232459
"5","University of Leicester",4,4,4,4,4,-1.12220513857863,52.6297994414819
"6","University of Leicester",5,4,4,4,4.25,-1.24096636962337,52.7798596042322
"7","University of Nottingham",4,5,4,3,4,-1.16996720813862,52.9519221909278
"8","University of Nottingham",4,5,4,3,4,-1.16996720813862,52.9519221909278
"9","University of Leicester",4,3,3,3,3.25,-1.1198635168001,52.6168993794141
"10","University of Leicester",2,3,3,3,2.75,-1.12220513857863,52.6297994414819
"11","University of Leicester",3,4,3,2,3,-1.11905679948064,52.6291287999114
"12","University of Leicester",5,3,3,3,3.5,-1.12220513857863,52.6297994414819
"13","University of Leicester",3,2,3,3,2.75,-1.12220513857863,52.6297994414819
"14","University of Leicester",5,4,3,4,4,-1.12220513857863,52.6297994414819
"15","University of Leicester",5,3,3,2,3.25,-1.09882709157609,52.6077062657982
"16","University of Warwick",5,1,2,1,2.25,-1.52956792322129,52.2901611582617
"17","University of Brighton",3,3,3,3,3,0.579414549562059,50.8579147215501
"18","University of Leicester",4,3,4,3,3.5,-1.11709799224831,52.6156022220114
"19","University of Leicester",2,2,3,4,2.75,-1.10608560487132,52.6247344393621
"20","University of Leicester",3,3,3,1,2.5,-1.11560150654272,52.6275657727053
"21","University of Leicester",4,4,5,5,4.5,-1.11172901013621,52.6254601159886
"22","University of Leicester",4,4,2,2,3,-1.1298500915324,52.6287320690638
"23","University of Leicester",3,5,5,5,4.5,-1.14718291702357,52.6293734856771
"24","University of Leicester",5,4,2,2,3.25,-4.27283008620364,55.8718862542957
"25","University of Leicester",4,3,2,2,2.75,-4.27283008620364,55.8718862542957
"26","Brunel University",3,4,3,3,3.25,-0.475086582183753,51.5260501382825
"27","University of Portsmouth",4,4,3,3,3.5,-1.07828165444736,50.7927457334273
"28","University of Leicester",4,3,2,2,2.75,-1.11670704077366,52.6276908879853
"29","University of Leicester",1,1,1,1,1,-1.1222364,52.6299833
"30","University of Leicester",4,3,2,2,2.75,-1.11670704077366,52.6276908879853
"31","University of Leicester",4,3,3,3,3.25,-1.1194639,52.6167608
"32","University of Leeds",3,1,2,2,2,-1.5724332084617,53.8168712082735
"33","University of Leicester",5,4,3,3,3.75,-1.11891814336573,52.617638526148
"34","University of Leicester",4,3,3,2,3,-1.12295269056033,52.63157600698
"35","University of Leicester",2,3,3,2,2.5,-1.11560150654272,52.6275657727053
"36","Loughborough University",3,3,3,2,2.75,-1.23870075386056,52.7618566519865
"37","University of Leicester",4,3,3,3,3.25,-1.11921531669265,52.6175508351164
"38","University of Leicester",5,5,4,3,4.25,-1.12637951980707,52.6153024232459
"39","University of Leicester",5,5,4,3,4.25,-1.12637951980707,52.6153024232459
"40","University of Leicester",5,3,3,5,4,-1.12138232300502,52.6177647029992
"41","University of Leicester",4,2,2,2,2.5,-1.1198635168001,52.6168993794141
"42","University of Leicester",4,4,4,4,4,-1.11567653997943,52.613577854919
"43","University of Leicester",5,4,3,3,3.75,-1.11891814336573,52.617638526148
"44","University of Manchester",4,5,5,5,4.75,-2.22462205103352,53.4393853819797
"45","University of East Anglia",5,4,1,2,3,1.2610976500642,52.6262428232843
"46","University of Leicester",2,2,2,2,2,-1.11850866690253,52.6277312724824
"47","University of Leicester",5,5,4,3,4.25,-1.12637951980707,52.6153024232459
"48","University of Leicester",4,4,3,3,3.5,-1.1182493388646,52.6156377651008
"49","University of Leicester",5,5,5,5,5,-1.1212174,52.6259552
"50","University of Leicester",2,1,1,1,1.25,-1.10376549839409,52.6095776932978
"51","University of Leicester",5,4,3,2,3.5,-1.12015492770714,52.6156249595524
"52","University of Leicester",2,5,5,5,4.25,-1.14718291702357,52.6293734856771
"53","University of Portsmouth",5,4,4,4,4.25,-1.08804141303313,50.7957450741532
"54","Swansea University",5,3,1,2,2.75,-3.96825324942512,51.619653216217
"55","University of Leicester",4,2,2,3,2.75,-1.12480116521266,52.6152008759169
"56","University of Leicester",5,2,2,4,3.25,-1.12325770156094,52.6170504013704
"57","University of Leicester",5,2,2,4,3.25,-1.12325770156094,52.6170504013704
"58","University of Leicester",3,4,4,4,3.75,-1.1210215,52.6278881
"59","Test uni",3,3,3,3,3,170.9695388,-45.108218
"60","University of Illinois at Chicago",3,3,3,3,3,-87.6474766,41.8653931
"61","University of Illinois at Chicago",5,5,5,5,5,-87.6583051,41.8703468
"62","University of Manchester",3,3,2,3,2.75,-2.21324195851708,53.4544979618963
"63","University of Manchester",4,4,4,4,4,-2.21324195851708,53.4544979618963
"64","University of Manchester",4,2,2,2,2.5,-2.21324195851708,53.4544979618963
"65","University of Leicester",4,1,1,2,2,-1.1249366,52.6149135
"66","University of Manchester",4,4,5,4,4.25,-2.21054054765357,53.4350696050037
"67","University of Illinois at Chicago",4,4,4,4,4,-87.6459679,41.8665061
"68","University of Leicester",3,3,3,4,3.25,-1.11751231384634,52.6273193067014
"69","University of Portsmouth",4,4,4,3,3.75,-1.0756512,50.7872767
"70","University of Portsmouth",4,2,2,2,2.5,-1.0700122,50.783338
"71","Loughborough University",4,4,4,3,3.75,-1.21705852679428,52.7737620951981
"72","University of Brighton",4,2,3,3,3,-0.127325793,50.83421958
"73","University of Leicester",4,3,4,3,3.5,-1.08483930540665,52.6092712034919
"74","University of Leicester",4,5,4,5,4.5,-1.11919081428605,52.6114104617472
"75","University of Leicester",5,5,5,4,4.75,-1.14237421418913,52.6259495486036
"76","University of Leicester",4,5,5,5,4.75,-1.11567653997943,52.613577854919
"77","University of Leicester",2,2,2,1,1.75,-1.11971108435045,52.6097691513663
"78","Kings college London",1,1,1,1,1,-0.088766173478739,51.4955185469488
"79","Kings college London",1,1,1,1,1,-0.085223765971984,51.4982304786458
"80","University of Manchester",3,4,4,4,3.75,-0.040532341944038,51.5234089982192
"81","University of Leicester",4,4,3,2,3.25,-1.1198635168001,52.6168993794141
"82","University of Manchester",5,3,2,4,3.5,-2.21325048980437,53.4411859730263
"83","University of Manchester",5,5,5,4,4.75,-2.22352087573125,53.4389560009241
"84","Loughborough University",5,4,3,4,4,-5.945089,54.585561
"85","University of Leicester",4,3,3,3,3.25,-1.12578129276267,52.6156755923266
"86","University of Leicester",2,2,2,3,2.25,-1.10366589474244,52.6101163427349
"87","University of Leicester",5,5,5,4,4.75,-1.1290590117043,52.616481860646
"88","University of Leicester",3,5,5,5,4.5,-1.11525169509189,52.6273294212805
"89","University of Leicester",4,4,3,4,3.75,-1.12467703712425,52.6110555553754
"90","University of Manchester",2,2,3,3,2.5,-2.21324195851708,53.4544979618963
"91","University of Manchester",4,3,3,2,3,-2.21324195851708,53.4544979618963
"92","University of Leicester",4,3,3,3,3.25,-1.11905679948064,52.6291287999114
"93","University of Leicester",3,1,1,1,1.5,-1.1182493388646,52.6156377651008
"94","University of Leicester",3,4,2,3,3,-1.11248619971604,52.6260051902293
"95","University of Leicester",4,5,5,5,4.75,-1.11361016487756,52.6288724272629
"96","University of Leicester",4,5,5,5,4.75,-1.11361016487756,52.6288724272629
"97","University of Leicester",3,2,2,3,2.5,-1.11248619971604,52.6260051902293
"98","University of Manchester",4,3,3,3,3.25,-2.21934735033613,53.4440782105198
"99","University of Edinburgh",4,5,4,3,4,-1.1227977493504,52.6141971587774
"100","University of Leicester",5,4,4,4,4.25,-1.12325770156094,52.6170504013704
"101","University of Nottingham",5,5,4,4,4.5,-1.16904392829441,52.9550530750164
"102","National University of Singapore",5,5,5,5,5,-117.0690052,32.7693976
"103","University of Leicester",4,5,4,4,4.25,-1.11650971363167,52.6264847551964
"104","University of Roehampton",4,2,1,1,2,-0.251968232788744,51.4539118545636
"105","Imperial College",5,5,5,5,5,-0.199160749062031,51.4820414704107
"106","University of Roehampton",3,4,4,4,3.75,-0.250935650851525,51.4534378381599
"107","University of Leicester",5,4,3,4,4,-1.21554231766033,51.7590756048966
"108","University of Leicester",2,1,1,2,1.5,-1.10366589474244,52.6101163427349
"109","University of Leicester",4,3,3,3,3.25,-1.1198635168001,52.6168993794141
"110","University of Leicester",4,5,5,5,4.75,-1.12749282887217,52.6321129586018
"111","University of Leicester",4,5,5,5,4.75,-4.30635971779683,55.8763402290876
"112","Rijksuniversiteit Groningen",5,3,2,1,2.75,6.5534896,53.2140299
"113","University of Leicester",5,2,2,2,2.75,-1.11128439474247,52.624800511043
"114","University of Kent",5,5,5,5,5,1.05127031038181,51.2984143638268
"115","University of Southampton",4,4,3,3,3.5,-1.38414717776518,50.937148811934
"116","University of Leicester",4,5,2,3,3.5,-1.11752251263287,52.6150569924355
"117","University of Leicester",5,4,4,4,4.25,-1.11752251263287,52.6150569924355
"118","University of Leicester",5,4,3,3,3.75,-1.11751231384634,52.6273193067014
"119","University of Leicester",5,3,3,4,3.75,-1.1290590117043,52.616481860646
"120","University of Leicester",5,3,3,4,3.75,-1.12135203588648,52.6163260742827
"121","University of Leicester",5,4,4,2,3.75,-1.13539227505198,52.6241427803614
"122","University of Leicester",2,5,4,4,3.75,-1.11058369226573,52.6294880433909
"123","University of Leicester",3,5,4,5,4.25,-1.11597227688823,52.6289619910217
"124","University of Plymouth",5,5,5,5,5,-4.13267928707433,50.3845497786166
"125","Loughborough University",5,2,3,1,2.75,-1.23123540803662,52.7700700947625
"126","University of Plymouth",4,5,4,5,4.5,-4.13352079951442,50.3754050627469
